STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,017600,3037,360850176003037,Block 3037,G5040,,,S,      10769,          0,+40.5226195,-074.1754555,                  -74.1754555000,                   40.5226195000
36,085,020803,2017,360850208032017,Block 2017,G5040,,,S,       9511,          0,+40.5359127,-074.2089582,                  -74.2089582000,                   40.5359127000
36,085,024402,1021,360850244021021,Block 1021,G5040,,,S,       1823,          0,+40.5036521,-074.2385625,                  -74.2385625000,                   40.5036521000
36,085,017012,3004,360850170123004,Block 3004,G5040,,,S,      16219,          0,+40.5513262,-074.1762462,                  -74.1762462000,                   40.5513262000
36,085,017012,1001,360850170121001,Block 1001,G5040,,,S,       7650,          0,+40.5583537,-074.1720798,                  -74.1720798000,                   40.5583537000
36,085,019800,3001,360850198003001,Block 3001,G5040,,,S,      19332,          0,+40.5272150,-074.1984341,                  -74.1984341000,                   40.5272150000
36,085,024800,2004,360850248002004,Block 2004,G5040,,,S,       5521,          0,+40.5147835,-074.2468520,                  -74.2468520000,                   40.5147835000
36,085,019800,3011,360850198003011,Block 3011,G5040,,,S,     170838,          0,+40.5212512,-074.2012260,                  -74.2012260000,                   40.5212512000
36,085,017005,2012,360850170052012,Block 2012,G5040,,,S,      10414,          0,+40.5404643,-074.1742153,                  -74.1742153000,                   40.5404643000
36,085,017005,2008,360850170052008,Block 2008,G5040,,,S,      16040,          0,+40.5426830,-074.1736847,                  -74.1736847000,                   40.5426830000
36,085,020801,4033,360850208014033,Block 4033,G5040,,,S,      33572,          0,+40.5433017,-074.2011031,                  -74.2011031000,                   40.5433017000
36,085,019800,2006,360850198002006,Block 2006,G5040,,,S,          0,        292,+40.5224850,-074.2118240,                  -74.2118240000,                   40.5224850000
36,085,017005,1007,360850170051007,Block 1007,G5040,,,S,      12844,          0,+40.5412701,-074.1785544,                  -74.1785544000,                   40.5412701000
36,085,022800,1020,360850228001020,Block 1020,G5040,,,S,    1569079,      39528,+40.5675435,-074.1854817,                  -74.1854817000,                   40.5675435000
36,085,015602,2007,360850156022007,Block 2007,G5040,,,S,      15125,          0,+40.5335498,-074.1612033,                  -74.1612033000,                   40.5335498000
36,085,017600,2011,360850176002011,Block 2011,G5040,,,S,       9427,          0,+40.5306649,-074.1656926,                  -74.1656926000,                   40.5306649000
36,085,015602,4007,360850156024007,Block 4007,G5040,,,S,      14985,          0,+40.5324623,-074.1622552,                  -74.1622552000,                   40.5324623000
36,085,015602,1009,360850156021009,Block 1009,G5040,,,S,      13722,          0,+40.5374871,-074.1593807,                  -74.1593807000,                   40.5374871000
36,085,015602,2003,360850156022003,Block 2003,G5040,,,S,      22063,          0,+40.5342441,-074.1592198,                  -74.1592198000,                   40.5342441000
36,085,015602,2011,360850156022011,Block 2011,G5040,,,S,      15747,          0,+40.5339940,-074.1557556,                  -74.1557556000,                   40.5339940000
36,085,022600,3003,360850226003003,Block 3003,G5040,,,S,       9158,          0,+40.5362711,-074.2188773,                  -74.2188773000,                   40.5362711000
36,085,020803,1009,360850208031009,Block 1009,G5040,,,S,      11863,          0,+40.5287968,-074.2154838,                  -74.2154838000,                   40.5287968000
36,085,024402,1018,360850244021018,Block 1018,G5040,,,S,       4150,          0,+40.5046978,-074.2384045,                  -74.2384045000,                   40.5046978000
36,085,017008,1010,360850170081010,Block 1010,G5040,,,S,       3646,          0,+40.5613898,-074.1723657,                  -74.1723657000,                   40.5613898000
36,085,017010,4017,360850170104017,Block 4017,G5040,,,S,      12708,          0,+40.5453854,-074.1948745,                  -74.1948745000,                   40.5453854000
36,085,022600,2007,360850226002007,Block 2007,G5040,,,S,      13822,          0,+40.5403382,-074.2224930,                  -74.2224930000,                   40.5403382000
36,085,020801,3000,360850208013000,Block 3000,G5040,,,S,      59645,          0,+40.5451981,-074.2108903,                  -74.2108903000,                   40.5451981000
36,085,017012,1012,360850170121012,Block 1012,G5040,,,S,      14401,          0,+40.5551770,-074.1743445,                  -74.1743445000,                   40.5551770000
36,085,022800,1041,360850228001041,Block 1041,G5040,,,S,      14162,          0,+40.5617867,-074.1703503,                  -74.1703503000,                   40.5617867000
36,085,020803,3021,360850208033021,Block 3021,G5040,,,S,      20832,          0,+40.5261478,-074.2080415,                  -74.2080415000,                   40.5261478000
36,085,020803,3003,360850208033003,Block 3003,G5040,,,S,      15715,          0,+40.5303777,-074.2038343,                  -74.2038343000,                   40.5303777000
36,085,017010,3003,360850170103003,Block 3003,G5040,,,S,       7865,          0,+40.5484624,-074.1969307,                  -74.1969307000,                   40.5484624000
36,085,020804,2014,360850208042014,Block 2014,G5040,,,S,      19517,          0,+40.5377781,-074.1960468,                  -74.1960468000,                   40.5377781000
36,085,017009,2011,360850170092011,Block 2011,G5040,,,S,      18467,          0,+40.5391842,-074.1939898,                  -74.1939898000,                   40.5391842000
36,085,017008,3021,360850170083021,Block 3021,G5040,,,S,      15734,          0,+40.5480160,-074.1809294,                  -74.1809294000,                   40.5480160000
36,085,017009,2018,360850170092018,Block 2018,G5040,,,S,       1364,          0,+40.5375188,-074.1900909,                  -74.1900909000,                   40.5375188000
36,085,017009,2002,360850170092002,Block 2002,G5040,,,S,      18686,          0,+40.5413051,-074.1890819,                  -74.1890819000,                   40.5413051000
36,085,019800,3022,360850198003022,Block 3022,G5040,,,S,      32472,          0,+40.5120322,-074.1984896,                  -74.1984896000,                   40.5120322000
36,085,017010,2005,360850170102005,Block 2005,G5040,,,S,      13104,          0,+40.5560110,-074.1993216,                  -74.1993216000,                   40.5560110000
36,085,017010,1008,360850170101008,Block 1008,G5040,,,S,     125920,          0,+40.5505833,-074.1969608,                  -74.1969608000,                   40.5505833000
36,085,022600,1012,360850226001012,Block 1012,G5040,,,S,      29261,          0,+40.5299763,-074.2394833,                  -74.2394833000,                   40.5299763000
36,085,024800,1001,360850248001001,Block 1001,G5040,,,S,      26420,          0,+40.5123367,-074.2515933,                  -74.2515933000,                   40.5123367000
36,085,024800,3029,360850248003029,Block 3029,G5040,,,S,      16645,          0,+40.5132567,-074.2521028,                  -74.2521028000,                   40.5132567000
36,085,020803,2016,360850208032016,Block 2016,G5040,,,S,      12795,          0,+40.5357191,-074.2106772,                  -74.2106772000,                   40.5357191000
36,085,020801,4009,360850208014009,Block 4009,G5040,,,S,      11690,          0,+40.5456284,-074.2031996,                  -74.2031996000,                   40.5456284000
36,085,020801,1014,360850208011014,Block 1014,G5040,,,S,      85258,          0,+40.5508706,-074.2150106,                  -74.2150106000,                   40.5508706000
36,085,019800,4007,360850198004007,Block 4007,G5040,,,S,     893320,     112574,+40.5178750,-074.1891535,                  -74.1891535000,                   40.5178750000
36,085,024800,3006,360850248003006,Block 3006,G5040,,,S,     114668,          0,+40.5174917,-074.2434387,                  -74.2434387000,                   40.5174917000
36,085,024800,1005,360850248001005,Block 1005,G5040,,,S,      27523,          0,+40.5112284,-074.2497329,                  -74.2497329000,                   40.5112284000
36,085,024800,3019,360850248003019,Block 3019,G5040,,,S,       4978,          0,+40.5159927,-074.2393017,                  -74.2393017000,                   40.5159927000
36,085,024800,2011,360850248002011,Block 2011,G5040,,,S,      26687,          0,+40.5127453,-074.2411602,                  -74.2411602000,                   40.5127453000
36,085,024800,3030,360850248003030,Block 3030,G5040,,,S,      26504,          0,+40.5132887,-074.2403452,                  -74.2403452000,                   40.5132887000
36,085,024401,1002,360850244011002,Block 1002,G5040,,,S,      19198,          0,+40.5075064,-074.2477586,                  -74.2477586000,                   40.5075064000
36,085,024401,1001,360850244011001,Block 1001,G5040,,,S,      20820,          0,+40.5077437,-074.2469216,                  -74.2469216000,                   40.5077437000
36,085,024402,2000,360850244022000,Block 2000,G5040,,,S,      22612,          0,+40.5034947,-074.2416585,                  -74.2416585000,                   40.5034947000
36,085,022600,1015,360850226001015,Block 1015,G5040,,,S,      10684,          0,+40.5353415,-074.2366922,                  -74.2366922000,                   40.5353415000
36,085,019800,3014,360850198003014,Block 3014,G5040,,,S,      93022,          0,+40.5201622,-074.2036035,                  -74.2036035000,                   40.5201622000
36,085,024401,3012,360850244013012,Block 3012,G5040,,,S,      21249,          0,+40.5114957,-074.2337732,                  -74.2337732000,                   40.5114957000
36,085,020801,1018,360850208011018,Block 1018,G5040,,,S,      11109,          0,+40.5492974,-074.2185593,                  -74.2185593000,                   40.5492974000
36,085,017007,1005,360850170071005,Block 1005,G5040,,,S,       3108,          0,+40.5538959,-074.1852019,                  -74.1852019000,                   40.5538959000
36,085,019800,4037,360850198004037,Block 4037,G5040,,,S,       2045,          0,+40.5117700,-074.1957009,                  -74.1957009000,                   40.5117700000
36,085,017600,3039,360850176003039,Block 3039,G5040,,,S,      62079,       3192,+40.5238126,-074.1838358,                  -74.1838358000,                   40.5238126000
36,085,017005,1017,360850170051017,Block 1017,G5040,,,S,      13009,          0,+40.5430648,-074.1843573,                  -74.1843573000,                   40.5430648000
36,085,017012,3014,360850170123014,Block 3014,G5040,,,S,       1103,          0,+40.5500283,-074.1787010,                  -74.1787010000,                   40.5500283000
36,085,017005,1016,360850170051016,Block 1016,G5040,,,S,       6526,          0,+40.5448407,-074.1828596,                  -74.1828596000,                   40.5448407000
36,085,024800,3018,360850248003018,Block 3018,G5040,,,S,      53934,          0,+40.5155742,-074.2414593,                  -74.2414593000,                   40.5155742000
36,085,024402,1025,360850244021025,Block 1025,G5040,,,S,       3483,          0,+40.5019258,-074.2379708,                  -74.2379708000,                   40.5019258000
36,085,020801,1013,360850208011013,Block 1013,G5040,,,S,       1140,          0,+40.5527623,-074.2152886,                  -74.2152886000,                   40.5527623000
36,085,020801,1001,360850208011001,Block 1001,G5040,,,S,      25017,          0,+40.5532088,-074.2160337,                  -74.2160337000,                   40.5532088000
36,085,020801,1019,360850208011019,Block 1019,G5040,,,S,       2605,          0,+40.5495462,-074.2207361,                  -74.2207361000,                   40.5495462000
36,085,020801,4021,360850208014021,Block 4021,G5040,,,S,      13086,          0,+40.5532273,-074.2113464,                  -74.2113464000,                   40.5532273000
36,085,020801,1020,360850208011020,Block 1020,G5040,,,S,      40622,          0,+40.5487841,-074.2158785,                  -74.2158785000,                   40.5487841000
36,085,020801,3008,360850208013008,Block 3008,G5040,,,S,      18935,          0,+40.5438007,-074.2104522,                  -74.2104522000,                   40.5438007000
36,085,019800,3023,360850198003023,Block 3023,G5040,,,S,     112966,          0,+40.5157467,-074.1989830,                  -74.1989830000,                   40.5157467000
36,085,015602,1000,360850156021000,Block 1000,G5040,,,S,       5885,          0,+40.5427303,-074.1642099,                  -74.1642099000,                   40.5427303000
36,085,020804,3009,360850208043009,Block 3009,G5040,,,S,      36925,          0,+40.5309832,-074.2006986,                  -74.2006986000,                   40.5309832000
36,085,019800,3019,360850198003019,Block 3019,G5040,,,S,          0,       5949,+40.5194486,-074.2032233,                  -74.2032233000,                   40.5194486000
36,085,019800,4002,360850198004002,Block 4002,G5040,,,S,      13450,          0,+40.5303564,-074.1930976,                  -74.1930976000,                   40.5303564000
36,085,019800,4050,360850198004050,Block 4050,G5040,,,S,       1114,          0,+40.5205929,-074.1787072,                  -74.1787072000,                   40.5205929000
36,085,017008,2002,360850170082002,Block 2002,G5040,,,S,      92473,          0,+40.5572090,-074.1787977,                  -74.1787977000,                   40.5572090000
36,085,020801,1006,360850208011006,Block 1006,G5040,,,S,      52377,          0,+40.5540365,-074.2162597,                  -74.2162597000,                   40.5540365000
36,085,017010,4016,360850170104016,Block 4016,G5040,,,S,      14016,          0,+40.5466452,-074.1935215,                  -74.1935215000,                   40.5466452000
36,085,019800,4020,360850198004020,Block 4020,G5040,,,S,      21086,          0,+40.5214139,-074.1849546,                  -74.1849546000,                   40.5214139000
36,085,017008,3006,360850170083006,Block 3006,G5040,,,S,      24592,          0,+40.5519645,-074.1817099,                  -74.1817099000,                   40.5519645000
36,085,017008,3010,360850170083010,Block 3010,G5040,,,S,      11724,          0,+40.5510508,-074.1827370,                  -74.1827370000,                   40.5510508000
36,085,022600,3016,360850226003016,Block 3016,G5040,,,S,      31460,          0,+40.5313464,-074.2198570,                  -74.2198570000,                   40.5313464000
36,085,024800,3023,360850248003023,Block 3023,G5040,,,S,      17527,          0,+40.5144403,-074.2378009,                  -74.2378009000,                   40.5144403000
36,085,024401,3014,360850244013014,Block 3014,G5040,,,S,     110750,          0,+40.5090024,-074.2322470,                  -74.2322470000,                   40.5090024000
36,085,020801,4034,360850208014034,Block 4034,G5040,,,S,      53380,          0,+40.5428302,-074.2070859,                  -74.2070859000,                   40.5428302000
36,085,020801,4035,360850208014035,Block 4035,G5040,,,S,      39607,          0,+40.5462835,-074.2092573,                  -74.2092573000,                   40.5462835000
