STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
17,031,770800,1034,170317708001034,Block 1034,G5040,,,S,         22904,             0,+41.9552600,-087.8511009
17,031,770800,1036,170317708001036,Block 1036,G5040,,,S,         68421,             0,+41.9538573,-087.8491923
17,031,760802,1041,170317608021041,Block 1041,G5040,,,S,         26868,             0,+41.9592238,-087.8530827
17,031,811600,1000,170318116001000,Block 1000,G5040,,,S,         79181,             0,+41.9521944,-087.8511254
17,031,760803,2000,170317608032000,Block 2000,G5040,,,S,        270075,             0,+41.9771953,-087.8488629
17,031,760802,1000,170317608021000,Block 1000,G5040,,,S,       1502228,             0,+41.9748660,-087.8530858
17,031,760801,1009,170317608011009,Block 1009,G5040,,,S,          3231,             0,+41.9846250,-087.8563370
17,031,760801,1002,170317608011002,Block 1002,G5040,,,S,        347557,             0,+41.9863761,-087.8512157
17,031,760801,1006,170317608011006,Block 1006,G5040,,,S,          8634,             0,+41.9839418,-087.8475411
17,031,760802,1040,170317608021040,Block 1040,G5040,,,S,         64469,             0,+41.9581504,-087.8510207
17,031,770800,1035,170317708001035,Block 1035,G5040,,,S,         17284,             0,+41.9552270,-087.8490286
17,031,760802,1001,170317608021001,Block 1001,G5040,,,S,         15323,             0,+41.9836074,-087.8526429
17,031,760802,1002,170317608021002,Block 1002,G5040,,,S,        576893,             0,+41.9628017,-087.8513740
17,031,760801,1007,170317608011007,Block 1007,G5040,,,S,          8141,             0,+41.9841658,-087.8529116
17,031,760802,1043,170317608021043,Block 1043,G5040,,,S,          1280,             0,+41.9564692,-087.8533469
17,031,760801,1004,170317608011004,Block 1004,G5040,,,S,         19616,             0,+41.9844280,-087.8522467
17,031,760801,1008,170317608011008,Block 1008,G5040,,,S,          2732,             0,+41.9848650,-087.8560456
17,031,770800,1033,170317708001033,Block 1033,G5040,,,S,         98982,             0,+41.9543457,-087.8537601
17,031,770700,2012,170317707002012,Block 2012,G5040,,,S,         48345,             0,+41.9882122,-087.8777392
17,031,760802,1044,170317608021044,Block 1044,G5040,,,S,          4348,             0,+41.9564335,-087.8529503
17,031,770700,1065,170317707001065,Block 1065,G5040,,,S,         10803,             0,+41.9736249,-087.8632088
17,031,760802,1042,170317608021042,Block 1042,G5040,,,S,        187895,             0,+41.9573096,-087.8558247
17,031,760801,1011,170317608011011,Block 1011,G5040,,,S,          3786,             0,+41.9837934,-087.8481282
17,031,760801,1010,170317608011010,Block 1010,G5040,,,S,         24881,             0,+41.9840081,-087.8546742
17,031,770700,1066,170317707001066,Block 1066,G5040,,,S,          2331,             0,+41.9736349,-087.8621591
17,031,760801,1003,170317608011003,Block 1003,G5040,,,S,          1698,             0,+41.9884380,-087.8530788
