STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
17,043,840000,2000,170438400002000,Block 2000,G5040,,,S,       4011895,         46078,+41.9797379,-087.9284299
17,043,840000,2041,170438400002041,Block 2041,G5040,,,S,         54498,          1233,+41.9602331,-087.9212804
17,043,840801,1018,170438408011018,Block 1018,G5040,,,S,             0,          3737,+41.9562620,-087.9227100
17,043,840000,2009,170438400002009,Block 2009,G5040,,,S,         30821,             0,+41.9845991,-087.9384673
17,043,840000,2004,170438400002004,Block 2004,G5040,,,S,         25011,             0,+41.9655931,-087.9358796
17,043,840801,1006,170438408011006,Block 1006,G5040,,,S,         25360,             0,+41.9572015,-087.9386592
17,043,840000,2007,170438400002007,Block 2007,G5040,,,S,         54024,             0,+41.9662759,-087.9384601
17,043,840000,2008,170438400002008,Block 2008,G5040,,,S,             0,         13755,+41.9878974,-087.9355642
17,043,840000,2006,170438400002006,Block 2006,G5040,,,S,             0,          1198,+41.9668613,-087.9382360
17,043,840802,3000,170438408023000,Block 3000,G5040,,,S,         27921,             0,+41.9595937,-087.9374826
17,043,840000,2049,170438400002049,Block 2049,G5040,,,S,         65730,             0,+41.9622191,-087.9378786
17,043,840801,1000,170438408011000,Block 1000,G5040,,,S,        799029,          4138,+41.9541386,-087.9291176
17,043,840000,2038,170438400002038,Block 2038,G5040,,,S,             0,           319,+41.9644240,-087.9336853
17,043,840801,1013,170438408011013,Block 1013,G5040,,,S,         22235,             0,+41.9594149,-087.9348460
17,043,840801,1012,170438408011012,Block 1012,G5040,,,S,         21036,             0,+41.9593102,-087.9335214
17,043,840801,1003,170438408011003,Block 1003,G5040,,,S,         17649,             0,+41.9574824,-087.9323442
17,043,840000,2036,170438400002036,Block 2036,G5040,,,S,         18383,             0,+41.9641757,-087.9358737
17,043,840000,2040,170438400002040,Block 2040,G5040,,,S,        500587,          2540,+41.9618321,-087.9268697
17,043,840000,2010,170438400002010,Block 2010,G5040,,,S,         49590,             0,+41.9861600,-087.9379788
17,043,840000,2042,170438400002042,Block 2042,G5040,,,S,             0,          3135,+41.9586450,-087.9204094
17,043,840000,2082,170438400002082,Block 2082,G5040,,,S,         11544,             0,+41.9668423,-087.9394642
17,043,840000,2044,170438400002044,Block 2044,G5040,,,S,         22856,           212,+41.9624316,-087.9210004
17,043,840000,2037,170438400002037,Block 2037,G5040,,,S,             0,          1233,+41.9643683,-087.9344316
17,043,840000,2061,170438400002061,Block 2061,G5040,,,S,         90539,             0,+41.9622294,-087.9352644
17,043,840801,1005,170438408011005,Block 1005,G5040,,,S,         23611,             0,+41.9574715,-087.9348330
17,043,840000,2048,170438400002048,Block 2048,G5040,,,S,             0,           768,+41.9628760,-087.9372351
17,043,840000,2001,170438400002001,Block 2001,G5040,,,S,             0,          7601,+41.9641324,-087.9235165
17,043,840000,2003,170438400002003,Block 2003,G5040,,,S,        503854,             0,+41.9686422,-087.9343896
17,043,840801,1019,170438408011019,Block 1019,G5040,,,S,           497,             0,+41.9561376,-087.9225910
17,043,840000,2055,170438400002055,Block 2055,G5040,,,S,          2462,             0,+41.9663633,-087.9383245
17,043,840000,2070,170438400002070,Block 2070,G5040,,,S,         10107,             0,+41.9710609,-087.9395346
17,043,840000,2052,170438400002052,Block 2052,G5040,,,S,           512,             0,+41.9647794,-087.9369130
17,043,840000,2057,170438400002057,Block 2057,G5040,,,S,         33789,             0,+41.9784876,-087.9395607
17,043,840000,2002,170438400002002,Block 2002,G5040,,,S,        347962,             0,+41.9905862,-087.9369150
17,043,840801,1001,170438408011001,Block 1001,G5040,,,S,        162078,             0,+41.9564366,-087.9241497
17,043,840000,2043,170438400002043,Block 2043,G5040,,,S,          6357,             0,+41.9637888,-087.9209880
17,043,840000,2081,170438400002081,Block 2081,G5040,,,S,             0,           426,+41.9640753,-087.9208415
17,043,840000,2005,170438400002005,Block 2005,G5040,,,S,          1708,             0,+41.9645865,-087.9336584
17,043,840000,2051,170438400002051,Block 2051,G5040,,,S,         25335,             0,+41.9638170,-087.9385469
17,043,840801,1011,170438408011011,Block 1011,G5040,,,S,         12710,             0,+41.9592146,-087.9323661
17,043,840000,2056,170438400002056,Block 2056,G5040,,,S,          8981,             0,+41.9751104,-087.9393548
17,043,840000,2053,170438400002053,Block 2053,G5040,,,S,             0,           496,+41.9648213,-087.9374358
17,043,840802,3001,170438408023001,Block 3001,G5040,,,S,         23569,             0,+41.9596940,-087.9387077
17,043,840801,1014,170438408011014,Block 1014,G5040,,,S,         24902,             0,+41.9595089,-087.9361464
17,043,840000,2039,170438400002039,Block 2039,G5040,,,S,         84800,             0,+41.9623116,-087.9329551
17,043,840801,1002,170438408011002,Block 1002,G5040,,,S,         24948,             0,+41.9574810,-087.9335155
17,043,840000,2054,170438400002054,Block 2054,G5040,,,S,             0,           765,+41.9683366,-087.9383783
