GEOID10,FID,BDNAME,BDNUM,TEXT_NBR,GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
270531260003016,1,Phillips West,90,90,1000000US270531260003016,"Block 3016, Block Group 3, Census Tract 1260, Hennepin County, Minnesota",8,1,6,0,0,0,1,0,8,7,1,6,0,0,0,0,0,1,0,0,0,0,0,1,0
270531260003001,1,Phillips West,90,90,1000000US270531260003001,"Block 3001, Block Group 3, Census Tract 1260, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531260002001,1,Phillips West,90,90,1000000US270531260002001,"Block 2001, Block Group 2, Census Tract 1260, Hennepin County, Minnesota",47,6,11,29,0,0,1,0,47,44,6,10,27,0,0,1,0,3,0,1,2,0,0,0,0
270531260001000,1,Phillips West,90,90,1000000US270531260001000,"Block 1000, Block Group 1, Census Tract 1260, Hennepin County, Minnesota",256,116,84,4,17,0,20,15,256,198,84,84,3,17,0,0,10,58,32,0,1,0,0,20,5
270531260002006,1,Phillips West,90,90,1000000US270531260002006,"Block 2006, Block Group 2, Census Tract 1260, Hennepin County, Minnesota",25,16,7,0,2,0,0,0,25,24,15,7,0,2,0,0,0,1,1,0,0,0,0,0,0
270531260003006,1,Phillips West,90,90,1000000US270531260003006,"Block 3006, Block Group 3, Census Tract 1260, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531260003007,1,Phillips West,90,90,1000000US270531260003007,"Block 3007, Block Group 3, Census Tract 1260, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531260004003,1,Phillips West,90,90,1000000US270531260004003,"Block 4003, Block Group 4, Census Tract 1260, Hennepin County, Minnesota",135,20,96,14,0,0,3,2,135,125,19,96,8,0,0,0,2,10,1,0,6,0,0,3,0
270531260004000,1,Phillips West,90,90,1000000US270531260004000,"Block 4000, Block Group 4, Census Tract 1260, Hennepin County, Minnesota",174,73,45,6,13,0,30,7,174,117,47,45,6,13,0,0,6,57,26,0,0,0,0,30,1
270531260003003,1,Phillips West,90,90,1000000US270531260003003,"Block 3003, Block Group 3, Census Tract 1260, Hennepin County, Minnesota",455,62,345,9,8,0,20,11,455,416,56,344,1,8,0,0,7,39,6,1,8,0,0,20,4
270531260002002,1,Phillips West,90,90,1000000US270531260002002,"Block 2002, Block Group 2, Census Tract 1260, Hennepin County, Minnesota",101,25,57,15,2,0,0,2,101,85,13,57,13,2,0,0,0,16,12,0,2,0,0,0,2
270531260003012,1,Phillips West,90,90,1000000US270531260003012,"Block 3012, Block Group 3, Census Tract 1260, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531260003004,1,Phillips West,90,90,1000000US270531260003004,"Block 3004, Block Group 3, Census Tract 1260, Hennepin County, Minnesota",202,63,47,1,5,0,69,17,202,104,31,47,1,5,0,4,16,98,32,0,0,0,0,65,1
270531260002009,1,Phillips West,90,90,1000000US270531260002009,"Block 2009, Block Group 2, Census Tract 1260, Hennepin County, Minnesota",12,12,0,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531260002008,1,Phillips West,90,90,1000000US270531260002008,"Block 2008, Block Group 2, Census Tract 1260, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
