GEOID10,FID,BDNAME,BDNUM,TEXT_NBR
"270531260003016","1",Phillips West,"90","90"
"270531260003001","1",Phillips West,"90","90"
"270531260002001","1",Phillips West,"90","90"
"270531260001000","1",Phillips West,"90","90"
"270531260002006","1",Phillips West,"90","90"
"270531260003006","1",Phillips West,"90","90"
"270531260003007","1",Phillips West,"90","90"
"270531260004003","1",Phillips West,"90","90"
"270531260004000","1",Phillips West,"90","90"
"270531260003003","1",Phillips West,"90","90"
"270531260002002","1",Phillips West,"90","90"
"270531260003012","1",Phillips West,"90","90"
"270531260003004","1",Phillips West,"90","90"
"270531260002009","1",Phillips West,"90","90"
"270531260002008","1",Phillips West,"90","90"
"270531260003013","1",Phillips West,"90","90"
"270531260001002","1",Phillips West,"90","90"
"270531260004005","1",Phillips West,"90","90"
"270531260004006","1",Phillips West,"90","90"
"270531260001003","1",Phillips West,"90","90"
"270531260003010","1",Phillips West,"90","90"
"270531260002005","1",Phillips West,"90","90"
"270531260002011","1",Phillips West,"90","90"
"270531260003005","1",Phillips West,"90","90"
"270531260004004","1",Phillips West,"90","90"
"270531260003018","1",Phillips West,"90","90"
"270531260002000","1",Phillips West,"90","90"
"270531260002010","1",Phillips West,"90","90"
"270531260003024","1",Phillips West,"90","90"
"270531260004011","1",Phillips West,"90","90"
"270531260003020","1",Phillips West,"90","90"
"270531260003015","1",Phillips West,"90","90"
"270531260003023","1",Phillips West,"90","90"
"270531260003022","1",Phillips West,"90","90"
"270531260003009","1",Phillips West,"90","90"
"270531260004009","1",Phillips West,"90","90"
"270531260003002","1",Phillips West,"90","90"
"270531260003000","1",Phillips West,"90","90"
"270531260003017","1",Phillips West,"90","90"
"270531260003008","1",Phillips West,"90","90"
"270531260003011","1",Phillips West,"90","90"
"270531260002004","1",Phillips West,"90","90"
"270531260004002","1",Phillips West,"90","90"
"270531260003019","1",Phillips West,"90","90"
"270531260004008","1",Phillips West,"90","90"
"270531260002007","1",Phillips West,"90","90"
"270531260003014","1",Phillips West,"90","90"
"270531260002003","1",Phillips West,"90","90"
"270531260001001","1",Phillips West,"90","90"
"270531260004001","1",Phillips West,"90","90"
"270531260003021","1",Phillips West,"90","90"
"270531260004007","1",Phillips West,"90","90"
"270531260004010","1",Phillips West,"90","90"
"270531044001005","2",Downtown West,"87","87"
"270531261003005","2",Downtown West,"87","87"
"270531261003007","2",Downtown West,"87","87"
"270531261003044","2",Downtown West,"87","87"
"270531261003009","2",Downtown West,"87","87"
"270531261003020","2",Downtown West,"87","87"
"270531261002004","2",Downtown West,"87","87"
"270531261002006","2",Downtown West,"87","87"
"270531261002010","2",Downtown West,"87","87"
"270531261002005","2",Downtown West,"87","87"
"270531044002034","2",Downtown West,"87","87"
"270531044002024","2",Downtown West,"87","87"
"270531044002022","2",Downtown West,"87","87"
"270531044002032","2",Downtown West,"87","87"
"270531261003038","2",Downtown West,"87","87"
"270531044001011","2",Downtown West,"87","87"
"270531044001001","2",Downtown West,"87","87"
"270531261003011","2",Downtown West,"87","87"
"270531261003003","2",Downtown West,"87","87"
"270531044001004","2",Downtown West,"87","87"
"270531044001006","2",Downtown West,"87","87"
"270531261003012","2",Downtown West,"87","87"
