STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,004700,1020,360850047001020,Block 1020,G5040,,,S,      17348,          0,+40.6172431,-074.0992983,                  -74.0992983000,                   40.6172431000
36,085,002100,2000,360850021002000,Block 2000,G5040,,,S,     450424,          0,+40.6321769,-074.0714366,                  -74.0714366000,                   40.6321769000
36,085,016901,2017,360850169012017,Block 2017,G5040,,,S,      12684,          0,+40.6123368,-074.1018048,                  -74.1018048000,                   40.6123368000
36,085,016901,2016,360850169012016,Block 2016,G5040,,,S,      12361,          0,+40.6126317,-074.1009939,                  -74.1009939000,                   40.6126317000
36,085,016901,2025,360850169012025,Block 2025,G5040,,,S,       1337,          0,+40.6110350,-074.1028143,                  -74.1028143000,                   40.6110350000
36,085,016901,2015,360850169012015,Block 2015,G5040,,,S,       9162,          0,+40.6128013,-074.1002183,                  -74.1002183000,                   40.6128013000
36,085,002900,4009,360850029004009,Block 4009,G5040,,,S,      13341,          0,+40.6146437,-074.0867598,                  -74.0867598000,                   40.6146437000
36,085,002900,1004,360850029001004,Block 1004,G5040,,,S,       9911,          0,+40.6194589,-074.0853112,                  -74.0853112000,                   40.6194589000
36,085,002900,4006,360850029004006,Block 4006,G5040,,,S,       1930,          0,+40.6155567,-074.0844743,                  -74.0844743000,                   40.6155567000
36,085,004000,7000,360850040007000,Block 7000,G5040,,,S,      10025,          0,+40.6218365,-074.0729255,                  -74.0729255000,                   40.6218365000
36,085,007500,3004,360850075003004,Block 3004,G5040,,,S,      28276,          0,+40.6335974,-074.0914612,                  -74.0914612000,                   40.6335974000
36,085,001700,1004,360850017001004,Block 1004,G5040,,,S,      82689,          0,+40.6335622,-074.0804607,                  -74.0804607000,                   40.6335622000
36,085,001700,1000,360850017001000,Block 1000,G5040,,,S,      25397,          0,+40.6364555,-074.0785901,                  -74.0785901000,                   40.6364555000
36,085,014700,1003,360850147001003,Block 1003,G5040,,,S,      16038,          0,+40.6249706,-074.1234869,                  -74.1234869000,                   40.6249706000
36,085,002001,2011,360850020012011,Block 2011,G5040,,,S,       4504,          0,+40.6067188,-074.0747619,                  -74.0747619000,                   40.6067188000
36,085,015100,1014,360850151001014,Block 1014,G5040,,,S,      25068,          0,+40.6225728,-074.1312569,                  -74.1312569000,                   40.6225728000
36,085,009700,2009,360850097002009,Block 2009,G5040,,,S,      19721,          0,+40.6400326,-074.1122752,                  -74.1122752000,                   40.6400326000
36,085,008100,2003,360850081002003,Block 2003,G5040,,,S,      22109,          0,+40.6411829,-074.0971641,                  -74.0971641000,                   40.6411829000
36,085,013302,1003,360850133021003,Block 1003,G5040,,,S,       7328,          0,+40.6368666,-074.1283243,                  -74.1283243000,                   40.6368666000
36,085,013302,1002,360850133021002,Block 1002,G5040,,,S,      55247,          0,+40.6352324,-074.1272522,                  -74.1272522000,                   40.6352324000
36,085,013302,1006,360850133021006,Block 1006,G5040,,,S,      14507,          0,+40.6347432,-074.1237001,                  -74.1237001000,                   40.6347432000
36,085,015100,1004,360850151001004,Block 1004,G5040,,,S,      28662,          0,+40.6253975,-074.1307661,                  -74.1307661000,                   40.6253975000
36,085,013302,3006,360850133023006,Block 3006,G5040,,,S,      21811,          0,+40.6329691,-074.1234690,                  -74.1234690000,                   40.6329691000
36,085,009700,2007,360850097002007,Block 2007,G5040,,,S,      18956,          0,+40.6421368,-074.1131299,                  -74.1131299000,                   40.6421368000
36,085,014100,1002,360850141001002,Block 1002,G5040,,,S,      15664,          0,+40.6296970,-074.1254840,                  -74.1254840000,                   40.6296970000
36,085,012500,1005,360850125001005,Block 1005,G5040,,,S,      30993,          0,+40.6292737,-074.1212771,                  -74.1212771000,                   40.6292737000
36,085,012500,3000,360850125003000,Block 3000,G5040,,,S,      25295,          0,+40.6272538,-074.1177144,                  -74.1177144000,                   40.6272538000
36,085,012500,3003,360850125003003,Block 3003,G5040,,,S,      67806,          0,+40.6254005,-074.1159880,                  -74.1159880000,                   40.6254005000
36,085,012100,2002,360850121002002,Block 2002,G5040,,,S,      17932,          0,+40.6280537,-074.1144631,                  -74.1144631000,                   40.6280537000
36,085,010500,3004,360850105003004,Block 3004,G5040,,,S,       9732,          0,+40.6308208,-074.1120247,                  -74.1120247000,                   40.6308208000
36,085,012100,2003,360850121002003,Block 2003,G5040,,,S,      14023,          0,+40.6283328,-074.1121107,                  -74.1121107000,                   40.6283328000
36,085,009700,3005,360850097003005,Block 3005,G5040,,,S,     300919,        927,+40.6422300,-074.1032024,                  -74.1032024000,                   40.6422300000
36,085,008100,1008,360850081001008,Block 1008,G5040,,,S,      17442,          0,+40.6443744,-074.0971540,                  -74.0971540000,                   40.6443744000
36,085,008100,2004,360850081002004,Block 2004,G5040,,,S,      20167,          0,+40.6410292,-074.0987013,                  -74.0987013000,                   40.6410292000
36,085,010500,2003,360850105002003,Block 2003,G5040,,,S,      19653,          0,+40.6324311,-074.1095445,                  -74.1095445000,                   40.6324311000
36,085,010500,1000,360850105001000,Block 1000,G5040,,,S,      26819,          0,+40.6376627,-074.1082973,                  -74.1082973000,                   40.6376627000
36,085,010500,2000,360850105002000,Block 2000,G5040,,,S,      22162,          0,+40.6337270,-074.1069509,                  -74.1069509000,                   40.6337270000
36,085,010500,2004,360850105002004,Block 2004,G5040,,,S,      17210,          0,+40.6313355,-074.1087143,                  -74.1087143000,                   40.6313355000
36,085,006700,2003,360850067002003,Block 2003,G5040,,,S,      13518,          0,+40.6332312,-074.1055248,                  -74.1055248000,                   40.6332312000
36,085,006700,2004,360850067002004,Block 2004,G5040,,,S,      14327,          0,+40.6313470,-074.1053593,                  -74.1053593000,                   40.6313470000
36,085,006700,2007,360850067002007,Block 2007,G5040,,,S,       7819,          0,+40.6296820,-074.1040275,                  -74.1040275000,                   40.6296820000
36,085,009700,3004,360850097003004,Block 3004,G5040,,,S,       7837,          0,+40.6454990,-074.1037710,                  -74.1037710000,                   40.6454990000
36,085,018701,2007,360850187012007,Block 2007,G5040,,,S,      14828,          0,+40.6093308,-074.1246806,                  -74.1246806000,                   40.6093308000
36,085,004700,1007,360850047001007,Block 1007,G5040,,,S,      13792,          0,+40.6113873,-074.0914437,                  -74.0914437000,                   40.6113873000
36,085,002900,4010,360850029004010,Block 4010,G5040,,,S,       6268,          0,+40.6139263,-074.0869344,                  -74.0869344000,                   40.6139263000
36,085,002900,4004,360850029004004,Block 4004,G5040,,,S,      14549,          0,+40.6165271,-074.0857695,                  -74.0857695000,                   40.6165271000
36,085,002900,3005,360850029003005,Block 3005,G5040,,,S,       8039,          0,+40.6184895,-074.0843929,                  -74.0843929000,                   40.6184895000
36,085,002900,2000,360850029002000,Block 2000,G5040,,,S,      76560,          0,+40.6225554,-074.0803360,                  -74.0803360000,                   40.6225554000
36,085,002900,3004,360850029003004,Block 3004,G5040,,,S,      19382,          0,+40.6182726,-074.0824041,                  -74.0824041000,                   40.6182726000
36,085,004000,3000,360850040003000,Block 3000,G5040,,,S,      26077,          0,+40.6165858,-074.0817892,                  -74.0817892000,                   40.6165858000
36,085,004000,6007,360850040006007,Block 6007,G5040,,,S,       7762,          0,+40.6173983,-074.0797206,                  -74.0797206000,                   40.6173983000
36,085,000800,1000,360850008001000,Block 1000,G5040,,,S,      21877,          0,+40.6191169,-074.0709298,                  -74.0709298000,                   40.6191169000
36,085,004000,7001,360850040007001,Block 7001,G5040,,,S,      25234,          0,+40.6206364,-074.0734805,                  -74.0734805000,                   40.6206364000
36,085,004700,1005,360850047001005,Block 1005,G5040,,,S,       9037,          0,+40.6123345,-074.0935573,                  -74.0935573000,                   40.6123345000
36,085,004000,2013,360850040002013,Block 2013,G5040,,,S,       8103,          0,+40.6104823,-074.0849307,                  -74.0849307000,                   40.6104823000
36,085,004000,1010,360850040001010,Block 1010,G5040,,,S,       1709,          0,+40.6073120,-074.0816212,                  -74.0816212000,                   40.6073120000
36,085,006700,3005,360850067003005,Block 3005,G5040,,,S,      10699,          0,+40.6331067,-074.1000035,                  -74.1000035000,                   40.6331067000
36,085,006700,3002,360850067003002,Block 3002,G5040,,,S,       9192,          0,+40.6338057,-074.1000480,                  -74.1000480000,                   40.6338057000
36,085,006700,1005,360850067001005,Block 1005,G5040,,,S,      10221,          0,+40.6393387,-074.1007395,                  -74.1007395000,                   40.6393387000
36,085,006700,3010,360850067003010,Block 3010,G5040,,,S,      14977,          0,+40.6321857,-074.1018443,                  -74.1018443000,                   40.6321857000
36,085,015100,1009,360850151001009,Block 1009,G5040,,,S,      21122,          0,+40.6232728,-074.1274016,                  -74.1274016000,                   40.6232728000
36,085,015100,1006,360850151001006,Block 1006,G5040,,,S,      14695,          0,+40.6240014,-074.1295479,                  -74.1295479000,                   40.6240014000
36,085,015100,3003,360850151003003,Block 3003,G5040,,,S,      23533,          0,+40.6197524,-074.1306816,                  -74.1306816000,                   40.6197524000
36,085,015100,2009,360850151002009,Block 2009,G5040,,,S,      11623,          0,+40.6209728,-074.1281566,                  -74.1281566000,                   40.6209728000
36,085,004000,1026,360850040001026,Block 1026,G5040,,,S,      10562,          0,+40.6068538,-074.0839647,                  -74.0839647000,                   40.6068538000
36,085,004000,2006,360850040002006,Block 2006,G5040,,,S,      12919,          0,+40.6115375,-074.0861344,                  -74.0861344000,                   40.6115375000
36,085,004000,2003,360850040002003,Block 2003,G5040,,,S,      11713,          0,+40.6133839,-074.0857745,                  -74.0857745000,                   40.6133839000
36,085,004000,2007,360850040002007,Block 2007,G5040,,,S,      13535,          0,+40.6112089,-074.0853713,                  -74.0853713000,                   40.6112089000
36,085,004000,1017,360850040001017,Block 1017,G5040,,,S,      10061,          0,+40.6087991,-074.0866338,                  -74.0866338000,                   40.6087991000
36,085,003600,1007,360850036001007,Block 1007,G5040,,,S,       6033,          0,+40.6121406,-074.0767479,                  -74.0767479000,                   40.6121406000
36,085,003600,2004,360850036002004,Block 2004,G5040,,,S,      22363,          0,+40.6109294,-074.0736399,                  -74.0736399000,                   40.6109294000
36,085,003600,1004,360850036001004,Block 1004,G5040,,,S,       8565,          0,+40.6133741,-074.0753991,                  -74.0753991000,                   40.6133741000
36,085,000800,1014,360850008001014,Block 1014,G5040,,,S,      19721,          0,+40.6141949,-074.0711337,                  -74.0711337000,                   40.6141949000
36,085,000800,1010,360850008001010,Block 1010,G5040,,,S,       8143,          0,+40.6160309,-074.0692451,                  -74.0692451000,                   40.6160309000
36,085,000800,1019,360850008001019,Block 1019,G5040,,,S,      10531,          0,+40.6133676,-074.0709550,                  -74.0709550000,                   40.6133676000
36,085,000800,2002,360850008002002,Block 2002,G5040,,,S,      10844,          0,+40.6122145,-074.0663211,                  -74.0663211000,                   40.6122145000
36,085,000800,3003,360850008003003,Block 3003,G5040,,,S,      39004,          0,+40.6069801,-074.0653568,                  -74.0653568000,                   40.6069801000
36,085,002001,2022,360850020012022,Block 2022,G5040,,,S,      16767,          0,+40.6042102,-074.0666566,                  -74.0666566000,                   40.6042102000
36,085,004000,2009,360850040002009,Block 2009,G5040,,,S,       8422,          0,+40.6097106,-074.0835111,                  -74.0835111000,                   40.6097106000
36,085,004000,4002,360850040004002,Block 4002,G5040,,,S,       9367,          0,+40.6102729,-074.0800903,                  -74.0800903000,                   40.6102729000
36,085,012100,2011,360850121002011,Block 2011,G5040,,,S,       9655,          0,+40.6255516,-074.1114843,                  -74.1114843000,                   40.6255516000
36,085,004000,6003,360850040006003,Block 6003,G5040,,,S,       6661,          0,+40.6172860,-074.0756545,                  -74.0756545000,                   40.6172860000
36,085,001700,2002,360850017002002,Block 2002,G5040,,,S,      15462,          0,+40.6351171,-074.0815047,                  -74.0815047000,                   40.6351171000
36,085,001100,2003,360850011002003,Block 2003,G5040,,,S,       6145,          0,+40.6375337,-074.0814985,                  -74.0814985000,                   40.6375337000
36,085,002100,1008,360850021001008,Block 1008,G5040,,,S,      28002,          0,+40.6301812,-074.0793379,                  -74.0793379000,                   40.6301812000
36,085,002100,3002,360850021003002,Block 3002,G5040,,,S,      16465,          0,+40.6268719,-074.0823066,                  -74.0823066000,                   40.6268719000
36,085,002100,2008,360850021002008,Block 2008,G5040,,,S,       7607,          0,+40.6354447,-074.0761544,                  -74.0761544000,                   40.6354447000
36,085,002100,1001,360850021001001,Block 1001,G5040,,,S,      11057,          0,+40.6351350,-074.0774408,                  -74.0774408000,                   40.6351350000
36,085,002100,2005,360850021002005,Block 2005,G5040,,,S,       7622,          0,+40.6372103,-074.0758056,                  -74.0758056000,                   40.6372103000
36,085,002100,1002,360850021001002,Block 1002,G5040,,,S,      19736,          0,+40.6342583,-074.0774824,                  -74.0774824000,                   40.6342583000
36,085,002100,1007,360850021001007,Block 1007,G5040,,,S,      11825,          0,+40.6317647,-074.0778777,                  -74.0778777000,                   40.6317647000
36,085,002100,2018,360850021002018,Block 2018,G5040,,,S,       6699,          0,+40.6294066,-074.0759706,                  -74.0759706000,                   40.6294066000
36,085,002700,1000,360850027001000,Block 1000,G5040,,,S,      13890,          0,+40.6262331,-074.0765025,                  -74.0765025000,                   40.6262331000
36,085,002700,1004,360850027001004,Block 1004,G5040,,,S,      19024,          0,+40.6249004,-074.0771481,                  -74.0771481000,                   40.6249004000
36,085,012100,1002,360850121001002,Block 1002,G5040,,,S,      32662,          0,+40.6239439,-074.1067419,                  -74.1067419000,                   40.6239439000
36,085,002700,1003,360850027001003,Block 1003,G5040,,,S,      11492,          0,+40.6249485,-074.0751962,                  -74.0751962000,                   40.6249485000
36,085,010500,4002,360850105004002,Block 4002,G5040,,,S,      29366,          0,+40.6340850,-074.1157705,                  -74.1157705000,                   40.6340850000
