precinct,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,P2_001N,P2_002N,P2_003N,P2_004N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N,P2_012N,P2_013N,P2_014N,P2_015N,P2_016N,P2_017N,P2_018N,P2_019N,P2_020N,P2_021N,P2_022N,P2_023N,P2_024N,P2_025N,P2_026N,P2_027N,P2_028N,P2_029N,P2_030N,P2_031N,P2_032N,P2_033N,P2_034N,P2_035N,P2_036N,P2_037N,P2_038N,P2_039N,P2_040N,P2_041N,P2_042N,P2_043N,P2_044N,P2_045N,P2_046N,P2_047N,P2_048N,P2_049N,P2_050N,P2_051N,P2_052N,P2_053N,P2_054N,P2_055N,P2_056N,P2_057N,P2_058N,P2_059N,P2_060N,P2_061N,P2_062N,P2_063N,P2_064N,P2_065N,P2_066N,P2_067N,P2_068N,P2_069N,P2_070N,P2_071N,P2_072N,P2_073N
1,84799,76937,57501,2655,96,14624,55,2006,7862,7409,613,257,2312,28,3743,47,90,2,155,6,2,20,34,98,2,405,71,42,0,83,24,0,60,37,65,1,4,1,11,0,4,0,0,1,0,1,46,7,0,25,2,6,0,0,5,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,84799,7024,77775,73295,55608,2410,40,14537,46,654,4480,4271,568,207,2276,28,931,32,87,2,49,5,0,0,28,58,0,196,52,34,0,28,21,0,0,34,14,0,2,1,8,0,2,0,0,0,0,0,13,7,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,50598,47663,13363,3556,109,27507,69,3059,2935,2749,232,72,565,18,1233,31,58,5,205,13,3,44,214,43,13,141,13,19,0,22,5,0,24,4,37,1,3,0,7,1,2,0,0,2,0,1,43,12,1,22,0,2,1,1,2,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,50598,6453,44145,42809,11970,2964,41,27432,44,358,1336,1263,177,56,541,18,119,24,49,5,33,11,1,0,209,20,0,58,2,17,0,4,5,0,3,4,14,0,3,0,3,1,1,0,0,0,0,1,14,8,0,1,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
6,64643,59481,50320,1782,72,5635,34,1638,5162,4867,468,192,1316,21,2401,26,40,2,87,8,2,14,233,49,8,258,52,26,0,57,11,0,45,13,34,1,1,0,7,2,4,0,3,1,0,1,33,4,0,23,0,5,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,64643,5008,59635,56716,48912,1661,28,5590,31,494,2919,2801,425,167,1281,17,552,20,37,2,33,5,1,2,229,30,0,114,40,20,0,15,11,0,1,12,6,0,1,0,1,1,3,0,3,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,57985,51746,18416,6934,396,17779,46,8175,6239,5672,442,127,731,26,3127,106,73,3,780,31,1,62,26,76,61,442,91,33,0,162,11,0,54,6,39,6,7,1,12,0,15,1,2,1,0,1,110,17,0,83,3,4,0,0,2,0,1,0,0,0,0,0,14,3,4,6,0,0,1,1,1,57985,17241,40744,39070,15512,5456,57,17608,9,428,1674,1540,304,70,696,26,191,59,62,2,65,24,1,1,22,17,0,110,23,28,0,21,6,0,3,6,0,1,1,1,7,0,10,1,2,0,0,0,24,16,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,75951,68112,41843,6610,480,11322,84,7773,7839,7193,704,255,1189,25,3830,91,82,5,656,4,1,65,172,75,39,533,124,48,2,154,12,2,75,16,43,2,8,2,17,0,19,4,0,0,2,3,99,8,0,82,0,3,0,0,6,0,0,0,0,0,0,0,14,3,7,4,0,0,0,0,0,75951,17159,58792,55805,38321,5520,102,11206,59,597,2987,2786,571,180,1131,22,482,53,70,3,64,3,0,2,169,35,1,185,55,43,2,28,8,1,2,15,9,0,7,2,5,0,7,1,0,0,0,0,13,4,0,7,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
10,65570,59110,38396,5749,273,10326,175,4191,6460,5951,482,215,927,16,3574,79,69,3,422,17,0,30,63,40,14,439,91,34,1,153,13,1,75,11,41,2,6,1,5,0,1,0,0,2,0,2,70,7,1,52,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65570,12874,52696,50101,34811,4747,110,9895,51,487,2595,2424,412,179,898,12,612,57,62,2,91,11,0,0,61,26,1,156,60,27,1,25,9,1,0,11,16,1,3,1,0,0,1,0,0,0,0,0,15,7,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,100050,91506,67019,5078,194,15270,329,3616,8544,8058,685,252,1959,11,4256,78,70,2,290,5,1,39,331,73,6,427,73,43,0,112,7,0,70,14,65,0,5,1,21,0,6,3,1,4,1,1,49,7,0,31,0,6,0,0,5,0,0,0,0,0,0,0,10,4,5,0,0,0,1,0,0,100050,10164,89886,85418,64496,4637,97,15139,151,898,4468,4293,611,191,1903,9,975,64,64,1,84,5,0,0,328,58,0,162,48,38,0,29,6,0,2,13,12,0,4,1,7,0,0,1,1,0,0,0,9,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
14,28050,26020,13221,3940,103,7233,82,1441,2030,1848,141,54,380,10,947,36,17,2,135,6,0,13,66,34,7,168,31,10,0,52,3,0,24,15,13,0,3,0,9,0,5,0,0,3,0,0,12,3,0,5,0,3,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,28050,3999,24051,23111,12203,3428,43,7205,28,204,940,860,110,46,361,10,176,23,12,1,35,5,0,0,60,21,0,73,23,6,0,10,3,0,5,12,6,0,2,0,1,0,4,0,0,1,0,0,7,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,89367,82971,61467,2478,90,16938,67,1931,6396,6054,468,138,1424,12,3573,22,73,4,157,24,0,19,69,56,15,299,48,24,2,68,14,0,47,29,38,3,4,0,10,0,9,1,0,1,0,1,35,12,0,18,1,1,0,0,2,0,0,0,0,1,0,0,5,2,3,0,0,0,0,3,3,89367,6576,82791,79625,59818,2256,41,16879,45,586,3166,3024,431,128,1401,10,775,17,62,4,54,21,0,0,66,48,7,133,29,18,2,16,11,0,1,27,15,3,4,0,1,0,5,0,0,1,0,0,6,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
18,67528,60827,37793,4810,289,13318,67,4550,6701,6194,495,217,943,10,3802,58,64,8,392,3,5,61,57,66,13,429,92,30,0,93,14,0,77,21,57,3,3,0,23,1,11,0,0,0,1,3,69,10,0,41,1,12,0,3,2,0,0,0,0,0,0,0,8,4,4,0,0,0,0,1,1,67528,11327,56201,53589,35536,4199,52,13231,29,542,2612,2434,411,164,918,10,642,46,59,6,74,3,1,6,55,39,0,148,51,22,0,7,11,0,5,19,21,0,3,0,5,0,4,0,0,0,0,0,27,9,0,8,0,7,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1
19,220261,204191,170499,5538,240,22794,64,5056,16070,15136,1127,471,3600,40,8960,76,124,17,412,23,3,79,64,122,18,810,137,66,5,163,24,2,144,39,154,2,6,2,34,2,14,6,2,2,0,6,105,15,1,71,0,9,0,1,6,0,0,0,2,0,0,0,17,9,8,0,0,0,0,2,2,220261,17077,203184,195270,166155,5020,88,22639,51,1317,7914,7565,1017,377,3526,36,2138,55,111,14,139,14,1,2,58,74,3,313,91,50,3,41,20,2,5,35,41,1,5,2,3,2,9,1,2,0,0,0,27,10,1,8,0,5,0,1,0,0,0,0,2,0,0,0,8,5,3,0,0,0,0,1,1
20,114575,104806,82682,4738,226,13101,62,3997,9769,9184,748,308,2202,17,5088,77,77,6,489,9,2,44,37,69,11,493,75,38,1,124,19,0,70,19,101,6,12,0,17,3,6,1,0,0,1,0,87,9,1,52,1,16,3,0,2,0,1,0,1,0,0,1,4,1,2,1,0,0,0,1,1,114575,11207,103368,98539,80306,4201,95,12992,32,913,4829,4628,666,254,2146,13,1266,51,67,5,79,5,2,1,32,39,2,180,46,30,1,17,16,0,2,17,32,3,8,0,1,2,4,1,0,0,0,0,20,9,1,6,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
22,129,117,39,58,3,2,0,15,12,12,0,2,1,0,3,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,32,97,88,32,49,3,2,0,2,9,9,0,2,1,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
